"GEO";"GEO_OBJECT";"FACILITY_DOM";"FACILITY_SDOM";"FACILITY_TYPE";"BPE_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"OBS_STATUS";"TIME_PERIOD";"OBS_VALUE"
"FM";"FRANCE";"A";"A1";"A131";"FACILITIES";"0";"NR";"A";2025;157
"FM";"FRANCE";"F";"F1";"F130";"FACILITIES";"0";"NR";"A";2025;3434
"F";"FRANCE";"F";"F1";"F118";"FACILITIES";"0";"NR";"A";2025;2752
"11132";"COM";"F";"F2";"F203";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"B";"_T";"_T";"FACILITIES";"0";"NR";"A";2025;3
"11132";"COM";"F";"F2";"_T";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"A";"A5";"_T";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"D";"D6";"D603";"FACILITIES";"0";"NR";"A";2025;5
"11132";"COM";"F";"F1";"F109";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"A";"A5";"A501";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"A";"A4";"A404";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D2";"D247";"FACILITIES";"0";"NR";"A";2025;9
"11262";"COM";"D";"D4";"D403";"FACILITIES";"0";"NR";"A";2025;17
"11262";"COM";"B";"B3";"B303";"FACILITIES";"0";"NR";"A";2025;17
"11262";"COM";"F";"F2";"F202";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"A";"A2";"A203";"FACILITIES";"0";"NR";"A";2025;22
"11132";"COM";"D";"D2";"D277";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D4";"_T";"FACILITIES";"0";"NR";"A";2025;24
"11262";"COM";"B";"B2";"B204";"FACILITIES";"0";"NR";"A";2025;22
"11262";"COM";"D";"D3";"_T";"FACILITIES";"0";"NR";"A";2025;35
"11262";"COM";"C";"C6";"C604";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"F";"F3";"F314";"FACILITIES";"0";"NR";"A";2025;2
"11132";"COM";"D";"D2";"D282";"FACILITIES";"0";"NR";"A";2025;1
"11132";"COM";"D";"D2";"D249";"FACILITIES";"0";"NR";"A";2025;2
"11262";"COM";"D";"D2";"D265";"FACILITIES";"0";"NR";"A";2025;61
"11262";"COM";"B";"B3";"B317";"FACILITIES";"0";"NR";"A";2025;4
"11262";"COM";"F";"F1";"F121";"FACILITIES";"0";"NR";"A";2025;11
"11262";"COM";"A";"A5";"A504";"FACILITIES";"0";"NR";"A";2025;324
"11262";"COM";"B";"B3";"B311";"FACILITIES";"0";"NR";"A";2025;8
"11262";"COM";"F";"F1";"F103";"FACILITIES";"0";"NR";"A";2025;5
"11262";"COM";"E";"E1";"E101";"FACILITIES";"0";"NR";"A";2025;50
"11262";"COM";"D";"D1";"D106";"FACILITIES";"0";"NR";"A";2025;1
"11262";"COM";"D";"D1";"D113";"FACILITIES";"0";"NR";"A";2025;3
"11262";"COM";"F";"F1";"F120";"FACILITIES";"0";"NR";"A";2025;9
