id_gaspar;code_commune;libelle_commune;num_risque_jo;lib_risque_jo;date_debut;date_fin;date_signature_arrete;date_publication_jo;date_modification
INTE9200465A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;1992-09-26 02:00:00;1992-09-27 02:00:00;1992-10-12 01:00:00;1992-10-13 01:00:00;2022-05-20 02:00:00.000
INTE9200448A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1992-01-22 01:00:00;1992-01-25 01:00:00;1992-07-15 02:00:00;1992-09-24 02:00:00;2022-05-20 02:00:00.000
INTE9900627A;40330;Villenave;ICB;Inondations et/ou Coulées de Boue;1999-12-25 12:00:00;1999-12-29 12:00:00;1999-12-29 12:00:00;1999-12-30 12:00:00;2022-05-24 11:17:06.954
INTE1935645A;11132;Fabrezan;SEC;Sécheresse;2018-01-01 01:00:00;2018-03-31 02:00:00;2019-12-13 01:00:00;2019-12-19 01:00:00;2022-05-24 02:00:00.000
IOME2308745A;11132;Fabrezan;SEC;Sécheresse;2022-10-01 12:00:00;2022-12-31 12:00:00;2023-04-03 12:00:00;2023-05-03 12:00:00;2023-05-04 10:59:28.790
INTE9200465A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;1992-09-26 02:00:00;1992-09-27 02:00:00;1992-10-12 01:00:00;1992-10-13 01:00:00;2022-05-20 02:00:00.000
INTE9200448A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;1992-01-22 01:00:00;1992-01-25 01:00:00;1992-07-15 02:00:00;1992-09-24 02:00:00;2022-05-20 02:00:00.000
INTE9900627A;40330;Villenave;MVT;Mouvement de Terrain;1999-12-25 12:00:00;1999-12-29 12:00:00;1999-12-29 12:00:00;1999-12-30 12:00:00;2022-05-24 11:17:06.954
INTE9200448A;11262;Narbonne;PDN;Poids de la Neige;1992-01-22 01:00:00;1992-01-25 01:00:00;1992-07-15 02:00:00;1992-09-24 02:00:00;2022-05-20 02:00:00.000
INTE9200448A;11132;Fabrezan;PDN;Poids de la Neige;1992-01-22 01:00:00;1992-01-25 01:00:00;1992-07-15 02:00:00;1992-09-24 02:00:00;2022-05-20 02:00:00.000
INTE0400157A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2003-11-16 01:00:00;2003-11-16 01:00:00;2004-03-05 01:00:00;2004-03-20 01:00:00;2022-05-24 02:00:00.000
INTE1502134A;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;2014-11-28 01:00:00;2014-11-30 01:00:00;2015-02-17 01:00:00;2015-02-19 01:00:00;2022-05-24 02:00:00.000
INTE1311771A;11262;Narbonne;CMV;Chocs Mécaniques liés à l'action des Vagues;2013-03-05 01:00:00;2013-03-07 01:00:00;2013-05-21 02:00:00;2013-05-25 02:00:00;2022-05-24 02:00:00.000
INTE1429330A;11262;Narbonne;ICB;Inondations et/ou Coulées de Boue;2014-11-27 01:00:00;2014-11-30 01:00:00;2014-12-10 01:00:00;2014-12-11 01:00:00;2022-05-24 02:00:00.000
NOR19821118;11132;Fabrezan;ICB;Inondations et/ou Coulées de Boue;1982-11-06 12:00:00;1982-11-10 12:00:00;1982-11-18 12:00:00;1982-11-19 12:00:00;2022-05-20 15:41:10.679
