NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
11069001;CARCASSONNE;43.215333;2.295500;128;199501;60.0;1;31;;16.8;1;11;13;5;1;0;0;0;1024.0;1;31;1012.6;1;18;9.8;1;31;;18.5;1;25;2.7;1;4;0;0;0;0;31;31;0;2.9;1;31;;-4.0;1;5;8.6;1;30;0;0;31;31;31;0;0;8;6.9;1;13.9;1;21;31;6.3;1;31;6.0;1;31;0;-0.2;1;4;12.6;1;25;38;1;21;31;100;1;30;31;84;1;31;7.8;1;31;31.0;1;27.0;1;340;1;26;28;20;0;31;25.1;1;340;1;26;28;16;0;31;19.0;1;310;1;26;26;24;4;31;5.6;1;31;6837;1;31;5;11;6;17565;1;31;9211;1;31;;;0;;;;;;0;1;;;;0;0;1;0;1;;0;0;0;1;1;0
11069001;CARCASSONNE;43.215333;2.295500;128;199502;54.4;1;28;;15.2;1;25;8;4;2;0;0;0;1021.4;1;28;1007.0;1;26;14.0;1;28;;20.3;1;15;9.0;1;22;0;0;0;0;27;28;0;5.5;1;28;;0.3;1;28;11.6;1;25;0;0;26;28;28;0;0;0;8.4;1;15.8;1;20;28;9.8;1;28;9.3;1;28;0;5.1;1;27;15.8;1;15;25;1;19;28;100;1;24;28;82;1;28;9.2;1;28;41.1;1;26.0;1;300;1;25;24;12;0;28;24.2;1;300;1;25;23;9;0;28;18.0;1;290;1;25;20;15;4;28;4.0;1;28;8747;1;28;1;7;8;25922;1;28;13222;1;28;;;0;;;;;;0;0;;;;0;;;;;;;;;0;0;0
11069001;CARCASSONNE;43.215333;2.295500;128;199503;63.4;1;31;;20.6;1;5;8;4;2;0;0;0;1020.3;1;31;1009.7;1;5;13.8;1;31;;21.4;1;24;5.9;1;4;0;0;0;0;30;31;0;4.2;1;31;;-2.5;1;1;9.2;1;11;0;0;31;31;31;0;0;2;9.6;1;20.2;1;24;31;9.0;1;31;8.6;1;31;0;4.1;1;4;12.6;1;18;20;1;22;31;100;1;13;31;74;1;31;7.7;1;31;75.9;1;28.0;1;300;1;3;29;16;1;31;26.0;1;300;1;3;29;15;0;31;19.0;1;300;1;29;29;23;6;31;5.7;1;31;11250;1;31;2;8;11;41662;1;31;16031;1;31;;;0;;;;;;0;0;;;;0;;;;;;;;;0;0;0
11069001;CARCASSONNE;43.215333;2.295500;128;199504;43.6;1;30;;22.2;1;24;7;3;1;0;0;0;1017.5;1;30;1006.1;1;21;17.7;1;30;;24.4;1;12;8.8;1;25;0;0;0;0;22;30;0;7.4;1;30;;0.4;1;22;11.5;1;6;0;0;26;30;30;0;0;0;10.3;1;19.5;1;10;30;12.5;1;30;12.1;1;30;0;7.6;1;25;15.6;1;8;15;1;27;30;100;1;5;30;66;1;30;8.6;1;30;103.5;1;23.0;1;300;1;19;27;12;0;30;21.5;1;300;1;19;26;8;0;30;16.0;1;280;1;19;24;15;2;30;4.6;1;30;12044;1;30;2;9;9;51707;1;30;19402;1;30;;;0;;;;;;0;0;;;;0;;;;;;;;;0;0;1
11069001;CARCASSONNE;43.215333;2.295500;128;199505;80.8;1;31;;29.8;1;11;8;5;3;0;0;0;1017.0;1;31;999.6;1;12;21.3;1;31;;29.9;1;8;13.4;1;13;0;5;0;0;10;29;0;10.7;1;31;;5.1;1;14;14.8;1;10;0;0;11;31;31;0;0;0;10.6;1;20.9;1;8;31;16.0;1;31;15.6;1;31;0;9.7;1;13;20.5;1;9;16;1;5;31;94;1;28;31;65;1;31;10.5;1;31;145.4;1;25.0;1;320;1;13;29;13;0;31;23.3;1;320;1;13;29;11;0;31;18.0;1;300;1;13;29;18;3;31;5.2;1;31;15578;1;31;2;7;11;68491;1;31;25133;1;31;;;0;;;;;;0;0;;;;0;;;;;;;;;0;1;0
11069001;CARCASSONNE;43.215333;2.295500;128;199506;32.4;1;30;;9.0;1;22;7;3;0;0;0;0;1017.1;1;30;1011.7;1;27;24.7;1;30;;32.5;1;19;17.8;1;11;0;14;3;0;4;23;2;13.6;1;30;;8.1;1;6;18.9;1;22;0;0;3;20;30;0;0;0;11.1;1;19.7;1;17;30;19.2;1;30;19.0;1;30;1;14.4;1;11;24.9;1;30;17;1;26;30;99;1;21;30;56;1;30;11.8;1;30;166.2;1;18.0;1;280;1;1;29;2;0;30;16.9;1;280;1;1;26;1;0;30;11.0;1;300;1;23;22;8;0;30;4.5;1;30;13533;1;30;0;5;8;68110;1;30;27520;1;30;;;0;;;;;;0;0;;;;0;;;;;;;;;0;1;0
11069001;CARCASSONNE;43.215333;2.295500;128;199507;19.0;1;31;;10.2;1;2;2;2;1;0;0;0;1016.0;1;31;1009.8;1;2;29.9;1;31;;35.6;1;19;20.9;1;4;0;29;17;2;0;5;6;18.3;1;31;;14.5;1;7;21.6;1;21;0;0;0;4;24;7;0;0;11.7;1;19.9;1;24;31;24.1;1;31;23.7;1;31;17;17.8;1;4;26.7;1;21;8;1;24;31;95;1;22;31;62;1;31;16.8;1;31;195.7;1;18.0;1;90;1;25;30;6;0;31;16.9;1;90;1;25;29;4;0;31;12.0;1;90;1;25;26;14;0;31;4.9;1;31;17415;1;31;1;3;9;72641;1;31;25115;1;31;;;0;;;;;;0;0;;;;0;;;;;;;;;0;4;0
11069001;CARCASSONNE;43.215333;2.295500;128;199508;56.4;1;31;;47.2;1;23;5;1;1;1;0;0;1017.2;1;31;1010.3;1;4;28.9;1;31;;33.9;1;3;23.6;1;28;0;28;12;0;0;9;6;17.6;1;31;;11.7;1;31;21.2;1;4;0;0;0;3;27;5;0;0;11.3;1;17.1;1;17;31;23.3;1;31;22.7;1;31;11;17.7;1;31;27.5;1;4;14;1;17;31;100;1;24;31;62;1;31;15.9;1;31;177.6;1;22.0;1;300;1;28;26;7;0;31;20.6;1;300;1;28;26;2;0;31;15.0;1;300;1;28;24;13;1;31;5.0;1;31;15838;1;31;0;3;9;63187;1;31;24446;1;31;;;0;;;;;;0;0;;;;0;;;;;;;;;0;9;1
11069001;CARCASSONNE;43.215333;2.295500;128;199509;84.6;1;30;;28.8;1;18;11;4;3;0;0;0;1016.3;1;30;1001.6;1;7;21.9;1;30;;30.0;1;7;17.2;1;25;0;7;1;0;10;28;0;12.3;1;30;;6.9;1;26;18.2;1;7;0;0;6;26;30;0;0;0;9.6;1;16.0;1;2;30;17.1;1;30;16.7;1;30;0;13.2;1;26;24.1;1;7;18;1;7;30;98;1;28;30;70;1;30;12.2;1;30;105.4;1;21.0;1;310;1;8;28;5;0;30;19.7;1;310;1;8;25;4;0;30;14.0;1;290;1;25;19;10;0;30;4.5;1;30;11018;1;30;1;7;8;42462;1;30;17963;1;30;;;0;;;;;;0;0;;;;0;;;;;;;;;0;0;0
11069001;CARCASSONNE;43.215333;2.295500;128;199510;30.6;1;31;;19.2;1;14;6;1;1;0;0;0;1022.0;1;31;1016.8;1;4;21.3;1;31;;23.6;1;2;16.6;1;21;0;0;0;0;7;31;0;13.7;1;31;;5.0;1;22;17.7;1;3;0;0;2;20;31;0;0;0;7.7;1;14.6;1;31;31;17.5;1;31;16.9;1;31;0;11.9;1;22;20.3;1;27;47;1;21;31;99;1;8;31;84;1;31;15.4;1;31;70.7;1;19.0;1;280;1;14;27;4;0;31;17.8;1;280;1;14;23;3;0;31;13.0;1;280;1;14;23;10;0;31;4.7;1;31;10508;1;31;2;7;8;33355;1;31;14133;1;31;;;0;;;;;;0;0;;;;0;;;;;;;;;0;1;2
